QuestionType,Question,QuestionID,Answer
radio,Block number:,g1,1
linearGrid,How mentally demanding was the task?,g2,8
linearGrid,How physically demanding was the task?,g3,13
linearGrid,How hurried or rushed was the pace of the task?,g4,9
linearGrid,How succesful were you in accomplishing what you were asked to do?,g5,14
linearGrid,How hard did you have to work to accomplish your level of performance?,g6,13
linearGrid,How frustrated were you during the task?,g7,16
linearSlider,I found it tiresome,g8,1
linearSlider,I felt skillful.,g9,2
linearSlider,I was interested in the game's story.,g10,3
linearSlider,I found it impressive,g11,0
linearSlider,I felt content.,g12,1
linearSlider,I felt good.,g13,4
radio,Block number:,g14,2
linearGrid,How mentally demanding was the task?,g15,9
linearGrid,How physically demanding was the task?,g16,15
linearGrid,How hurried or rushed was the pace of the task?,g17,14
linearGrid,How succesful were you in accomplishing what you were asked to do?,g18,11
linearGrid,How hard did you have to work to accomplish your level of performance?,g19,11
linearGrid,How frustrated were you during the task?,g20,11
linearSlider,I found it tiresome,g21,2
linearSlider,I felt skillful.,g22,3
linearSlider,I was interested in the game's story.,g23,5
linearSlider,I found it impressive,g24,2
linearSlider,I felt content.,g25,1
linearSlider,I felt good.,g26,5
radio,Block number:,g27,4
linearGrid,How mentally demanding was the task?,g28,13
linearGrid,How physically demanding was the task?,g29,9
linearGrid,How hurried or rushed was the pace of the task?,g30,18
linearGrid,How succesful were you in accomplishing what you were asked to do?,g31,18
linearGrid,How hard did you have to work to accomplish your level of performance?,g32,20
linearGrid,How frustrated were you during the task?,g33,21
linearSlider,I found it tiresome,g34,3
linearSlider,I felt skillful.,g35,3
linearSlider,I was interested in the game's story.,g36,2
linearSlider,I found it impressive,g37,2
linearSlider,I felt content.,g38,2
linearSlider,I felt good.,g39,3
radio,Block number:,g40,4
linearGrid,How mentally demanding was the task?,g41,15
linearGrid,How physically demanding was the task?,g42,9
linearGrid,How hurried or rushed was the pace of the task?,g43,16
linearGrid,How succesful were you in accomplishing what you were asked to do?,g44,14
linearGrid,How hard did you have to work to accomplish your level of performance?,g45,10
linearGrid,How frustrated were you during the task?,g46,14
linearSlider,I found it tiresome,g47,3
linearSlider,I felt skillful.,g48,2
linearSlider,I was interested in the game's story.,g49,4
linearSlider,I found it impressive,g50,3
linearSlider,I felt content.,g51,1
linearSlider,I felt good.,g52,3

